IDuser,emailUser,telnumUser,passwordUser,nameUser,surnameUser,birthdayUser,sexUser
835987,debra.burks@yahoo.com,812239231,"""Vx/8Ik+4Cu""9""",Debra,Burks,14.02.2002,Male
835987,kasha.todd@yahoo.com,965731086,"""Qe&7Sb,6Kk-3""",Kasha,Todd,14.05.1979,Prefer not to say
771255,tameka.fisher@aol.com,838157825,"""Wj%9Aa#3Fl$1""",Tameka,Fisher,15.08.2003,Male
102905,daryl.spence@aol.com,505498124,"""Lp+7Fy-0Vl%7""",Daryl,Spence,22.06.2008,Female
842344,charolette.rice@msn.com,737734964,"""Zo*6Qs.8Er-6""",Charolette,Rice,17.02.1981,Male
853008,lyndsey.bean@hotmail.com,957787726,"""Nt)1Ra'9Gq-0""",Lyndsey,Bean,22.11.1993,Prefer not to say
475800,latasha.hays@hotmail.com,298145268,"""Pm#6Om-4Zv.4""",Latasha,Hays,26.04.1992,Prefer not to say
670832,jacquline.duncan@yahoo.com,303324652,"""Ss)3Ny$3Vc$6""",Jacquline,Duncan,19.08.1982,Male
612918,genoveva.baldwin@msn.com,350905743,"""Pn""5So-7Px!1""",Genoveva,Baldwin,10.01.1986,Male
669727,pamelia.newman@gmail.com,407125661,"""Rv$5Ej)3Hd)8""",Pamelia,Newman,16.11.1998,Male
188971,deshawn.mendoza@yahoo.com,832371361,"""Xy!3Og'1Js/9""",Deshawn,Mendoza,06.11.1987,Female
887363,robby.sykes@hotmail.com,726074037,"""Rx%2Qv*6Rd*0""",Robby,Sykes,17.04.2001,Prefer not to say
958936,lashawn.ortiz@msn.com,349849625,"""Ww-3Rx%8Hk,4""",Lashawn,Ortiz,28.07.1999,Male
896612,garry.espinoza@hotmail.com,538757248,"""Bm-2Xx&1Vt'3""",Garry,Espinoza,07.10.1994,Male
876090,linnie.branch@gmail.com,821637551,"""Es/5Cg)8Rj.0""",Linnie,Branch,21.01.1982,Prefer not to say
989998,emmitt.sanchez@hotmail.com,165601767,"""Ky*2My,3Iy#0""",Emmitt,Spence,08.01.2008,Female
